,0,1,2,3,4
0,27.80985,49.61936,83.08067,116.6632,130.414
1,27.71966,48.55022,65.21374,95.27666,116.9964
2,30.4267,33.47752,44.80953,62.47495,77.43523
3,16.66549,30.1086,39.96952,44.12225,59.57512
4,8.815617,18.3516,8.658275,27.5859,48.62691
